song_id,lowlevel.melbands_kurtosis.mean,lowlevel.melbands_skewness.mean,lowlevel.spectral_energy.mean,lowlevel.zerocrossingrate.mean,rhythm.beats_loudness.mean,rhythm.onset_rate,tonal.chords_strength.mean,tonal.hpcp_entropy.mean,tonal.key_edma.strength,tonal.key_temperley.strength,lowlevel.gfcc.mean_0,lowlevel.gfcc.mean_1,lowlevel.gfcc.mean_2,lowlevel.gfcc.mean_3,lowlevel.gfcc.mean_4,lowlevel.gfcc.mean_5,lowlevel.gfcc.mean_6,lowlevel.gfcc.mean_7,lowlevel.gfcc.mean_8,lowlevel.gfcc.mean_9,lowlevel.gfcc.mean_10,lowlevel.gfcc.mean_11,lowlevel.gfcc.mean_12,lowlevel.mfcc.mean_0,lowlevel.mfcc.mean_1,lowlevel.mfcc.mean_2,lowlevel.mfcc.mean_3,lowlevel.mfcc.mean_4,lowlevel.mfcc.mean_5,lowlevel.mfcc.mean_6,lowlevel.mfcc.mean_7,lowlevel.mfcc.mean_8,lowlevel.mfcc.mean_9,lowlevel.mfcc.mean_10,lowlevel.mfcc.mean_11,lowlevel.mfcc.mean_12,rhythm.beats_loudness_band_ratio.mean_0,rhythm.beats_loudness_band_ratio.mean_1,rhythm.beats_loudness_band_ratio.mean_2,rhythm.beats_loudness_band_ratio.mean_3,rhythm.beats_loudness_band_ratio.mean_4,rhythm.beats_loudness_band_ratio.mean_5,tonal.chords_histogram_0,tonal.chords_histogram_1,tonal.chords_histogram_2,tonal.chords_histogram_3,tonal.chords_histogram_4,tonal.chords_histogram_5,tonal.chords_histogram_6,tonal.chords_histogram_7,tonal.chords_histogram_8,tonal.chords_histogram_9,tonal.chords_histogram_10,tonal.chords_histogram_11,tonal.chords_histogram_12,tonal.chords_histogram_13,tonal.chords_histogram_14,tonal.chords_histogram_15,tonal.chords_histogram_16,tonal.chords_histogram_17,tonal.chords_histogram_18,tonal.chords_histogram_19,tonal.chords_histogram_20,tonal.chords_histogram_21,tonal.chords_histogram_22,tonal.chords_histogram_23
deam_2,21.80160522460937,3.360946655273437,0.0330981239676475,0.0369899459183216,0.0395216159522533,3.1498477458953857,0.4880941808223724,2.154713153839112,0.6545655131340027,0.632044792175293,-17.107492,128.29683,-121.23301,37.173107,-50.605743,10.449885,-32.61986,4.599336,-22.020388,-1.8091346,-8.9840355,-14.434787,-9.47128,-655.9513,151.36253,-4.103453,28.718273,6.6708326,6.3528876,6.417311,-1.3158171,-1.9288633,5.8725123,-1.6026503,-2.7403681,5.6955805,0.5656054,0.22006692,0.13572638,0.07831769,0.03805632,0.02526797,34.25926,3.7037036,4.1152263,1.8518518,2.8806584,2.2633746,1.1316873,13.477366,1.6460905,9.9794235,0.9259259,0.0,3.6008232,0.0,1.8518518,0.7201646,4.526749,2.1604939,1.4403292,0.41152263,0.0,5.144033,2.6748972,1.2345679
deam_3,76.05262756347656,5.75200891494751,0.1123713254928588,0.0139750065281987,0.1670252084732055,3.0190882682800293,0.4917565882205963,1.9384995698928835,0.6915775537490845,0.6914322972297668,-69.68552,162.13713,-83.879616,54.300526,-21.15125,16.337221,-9.434897,-3.762217,-18.008661,-7.7269344,-3.1733396,-6.4159718,2.2742956,-723.07928,183.24698,13.773014,53.707443,17.710392,28.937038,20.165073,12.89502,2.5299089,4.9962249,-2.309155,-2.9436915,-0.66262048,0.8846976,0.09771795,0.01411622,0.01379324,0.00607644,0.00777097,8.238929,16.065912,31.92585,7.9299693,0.0,3.3985581,0.0,8.444902,0.0,15.550979,0.0,0.51493305,0.0,0.0,0.0,0.0,2.677652,0.0,0.0,0.0,0.0,0.0,1.7507724,3.5015447
deam_4,16.516721725463867,3.1564786434173584,0.048237670212984,0.0378366410732269,0.0708249658346176,4.3288397789001465,0.5828547477722168,1.964482069015503,0.6316106915473938,0.6162692308425903,-14.290862,128.63055,-113.896164,34.34014,-33.13509,11.778747,-50.480064,1.7592688,-13.344919,2.9710526,-11.194272,-8.316036,-13.157598,-659.5208,155.06456,-5.7737927,27.557617,31.594414,9.3640585,-7.8517866,-5.1617894,-1.2909287,2.8684807,2.257254,5.9996195,1.8032725,0.6695126,0.17259881,0.07227087,0.04241582,0.06547057,0.01148788,79.71164,2.2657053,0.6179197,0.0,0.0,0.6179197,2.0597322,11.84346,0.10298661,0.8238929,0.0,0.0,0.0,0.0,0.0,0.10298661,0.20597322,0.0,1.5447992,0.0,0.0,0.0,0.0,0.10298661
deam_5,14.615296363830566,2.5357916355133057,0.0261257831007242,0.0367488861083984,0.0367622338235378,3.1966817378997803,0.5792669653892517,1.5718026161193848,0.8523021340370178,0.847585916519165,-45.66011,117.54536,-115.13613,2.392734,-80.92392,-14.927466,-54.706295,-0.85444754,-44.734512,-12.963684,-28.63152,-12.739968,-12.879944,-695.0586,156.82898,3.378829,10.773929,-15.327497,-24.83275,-10.359716,-14.419812,-9.548187,-18.365843,-13.390017,-13.453327,-17.41255,0.26816353,0.3533584,0.28626987,0.09778512,0.02944014,0.02071624,67.25026,1.0298661,14.624099,0.0,1.6477858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5015447,0.0,0.30895984,9.474769,2.1627188
deam_7,99.851806640625,5.7686920166015625,0.1052688807249069,0.0133643737062811,0.1301313787698745,5.368050575256348,0.4140623807907104,2.0824577808380127,0.5287124514579773,0.5187920331954956,-56.329777,145.15723,-62.947422,68.91509,-41.51481,16.86155,-24.506605,-7.2498684,-11.139147,-6.072032,-3.035954,-11.828321,-9.049481,-707.68542,156.68874,47.619064,57.102528,20.059963,28.245628,5.9013362,6.7753749,-2.3857634,0.21044718,3.6214652,5.8701253,4.4195719,0.91522723,0.06595698,0.02288568,0.00367858,0.00377584,0.0054268,12.962963,0.5144033,45.37037,6.4814816,0.41152263,0.41152263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6584363,0.0,11.419753,7.5102882,7.716049,0.0,1.5432099
deam_8,36.802040100097656,3.084756374359131,0.055352259427309,0.0243527125567197,0.0437659211456775,3.571306228637696,0.4213000237941742,1.7159016132354736,0.675121009349823,0.6681983470916748,-165.04538,169.51794,-5.3720775,22.923746,-65.438675,3.1689932,-23.048492,-4.0286617,-8.585365,2.2840095,-1.2711154,0.8226806,0.701985,-843.92664,205.38844,98.975243,34.803295,-0.49499211,10.590027,-3.150794,0.76420212,-2.7017095,0.88831216,2.2641132,2.3016546,0.48645684,0.6220879,0.2948216,0.05658299,0.01328713,0.00426621,0.04553259,4.6296296,6.4814816,0.82304525,9.670782,1.5432099,2.0576131,0.0,1.5432099,25.10288,29.218107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.699589,5.3497944,2.8806584,0.0
deam_10,22.594369888305664,2.1325676441192627,0.0169742051512002,0.0420676171779632,0.0237311702221632,3.5934884548187256,0.4949313700199127,1.5762338638305664,0.708757221698761,0.7050356268882751,-130.61203,149.68718,-107.51303,7.739651,-33.68276,7.46922,-40.21519,7.5297117,-15.632612,-10.9579935,-9.392183,-1.0930609,1.5026593,-790.07086,186.93306,-0.41886732,14.627263,22.75305,-1.6306499,-2.7902474,7.0060701,2.8315294,-2.8991706,-7.9015164,0.86664116,-0.12680645,0.393456,0.27949986,0.16180407,0.13517396,0.10039165,0.02223673,20.884773,6.0699587,15.123457,0.0,0.41152263,0.0,0.0,0.0,0.82304525,0.0,0.0,0.82304525,0.30864197,5.0411525,0.0,0.20576131,1.0288066,3.3950617,5.967078,20.576132,3.909465,2.366255,9.053498,4.012346
deam_12,55.21330261230469,4.689725399017334,0.0359986200928688,0.047155600041151,0.0406715162098407,3.704398393630981,0.5076496601104736,1.962863802909851,0.6545330286026001,0.6710306406021118,-46.150692,108.01474,-80.543076,41.63199,-67.84811,1.5600592,-47.204327,-4.193079,-25.298428,-8.996685,-20.314861,-7.058084,-10.578341,-696.0078,132.7315,37.081573,34.752747,5.896424,2.5457408,-10.644487,-2.381011,-5.511486,-6.193238,-8.557311,-4.820486,-8.882227,0.534647,0.32332063,0.09810086,0.02230233,0.03044455,0.05973418,50.20576,1.6460905,0.82304525,9.670782,1.2345679,6.7901235,0.0,1.5432099,0.0,0.0,0.9259259,0.0,0.5144033,2.5720165,0.0,0.0,0.0,0.0,4.3209877,0.0,0.5144033,0.0,17.798353,1.4403292
deam_13,38.87104034423828,3.904978036880493,0.0273171979933977,0.0316429883241653,0.0405759252607822,2.794935464859009,0.5997653603553772,1.330494999885559,0.6278159618377686,0.6461007595062256,-70.08653,119.914085,-83.011765,23.859764,-55.279133,-1.7882932,-41.831745,3.7190673,-39.880604,-6.229679,-22.158918,-7.7031417,-16.501211,-732.048,159.4843,19.766148,32.022503,3.650156,-5.0114,3.7902107,-2.9583917,-9.060601,-7.925716,-9.820999,-8.34791,-10.530027,0.50046206,0.30130753,0.15157582,0.05927789,0.02265283,0.0119187,39.403294,1.3374486,2.2633746,0.0,5.761317,0.0,0.0,2.2633746,2.1604939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61728394,0.0,8.950617,0.0,33.436214,1.5432099,2.2633746
deam_17,26.283767700195312,3.500994682312012,0.0295986030250787,0.0398462153971195,0.0395396873354911,4.347677230834961,0.5002875328063965,1.981052279472351,0.69816654920578,0.6936610341072083,-30.842186,118.47876,-112.86329,39.56273,-56.630962,3.413404,-34.75205,-4.2346907,-29.304272,-6.4517913,-16.466427,-4.5740137,-13.12971,-672.70923,142.71207,2.6911981,37.019264,-0.70107132,9.8228483,0.37161723,2.0391715,-6.4918313,-6.9711423,-6.0984197,-1.5671021,0.75179112,0.5998581,0.31392023,0.10301958,0.05437845,0.03858501,0.03676675,20.26749,0.61728394,11.625514,5.3497944,0.0,0.10288066,0.0,6.1728396,0.41152263,42.48971,0.0,0.0,0.0,0.0,0.82304525,0.0,0.0,0.0,0.0,2.983539,4.9382715,0.0,4.218107,0.0
